SDN 02 Beduai;;Sekolah;P93Q+9RH;P93Q+9RH;https://www.google.com/maps/place/SDN+02+Beduai/data=!4m7!3m6!1s0x31fc577cdadc8aed:0x2aa8493d6eb62228!8m2!3d0.7034452!4d110.3895981!16s%2Fg%2F11hcz0r1tj!19sChIJ7Yrc2nxX_DERKCK2bj1JqCo?authuser=0&hl=id&rclk=1;4,5 bintang 2 Ulasan
SD. DUSUN SEI. GOA DALAM DESA SEI.ILAI, KECAMATAN BEDUAI KABUPATEN SANGGAU;;Sekolah;M86P+GWW;;https://www.google.com/maps/place/SD.+DUSUN+SEI.+GOA+DALAM+DESA+SEI.ILAI,+KECAMATAN+BEDUAI+KABUPATEN+SANGGAU/data=!4m7!3m6!1s0x31fc5712636a625d:0x4f0a4448a4c80590!8m2!3d0.6613667!4d110.3373306!16s%2Fg%2F11h57ncthk!19sChIJXWJqYxJX_DERkAXIpEhECk8?authuser=0&hl=id&rclk=1;2,0 bintang 1 Ulasan
SDN 01 beduwai;;Sekolah;P92Q+HRH;;https://www.google.com/maps/place/SDN+01+beduwai/data=!4m7!3m6!1s0x31fc57fdd7bca561:0x97d63498b8a36f47!8m2!3d0.701444!4d110.3896168!16s%2Fg%2F11h7ktlh1z!19sChIJYaW81_1X_DERR2-juJg01pc?authuser=0&hl=id&rclk=1;5,0 bintang 3 Ulasan
SDN 10 ilai pejugan;;Sekolah;M85F+6GX;M85F+6GX;https://www.google.com/maps/place/SDN+10+ilai+pejugan/data=!4m7!3m6!1s0x31fcf9ab8db0f11b:0xb7a2e3b0efdb2401!8m2!3d0.6581158!4d110.3238507!16s%2Fg%2F11jnng27gg!19sChIJG_Gwjav5_DERASTb77Djorc?authuser=0&hl=id&rclk=1;
SDN 09 Sei Dangin;;Sekolah;Q7CJ+7C8;Q7CJ+7C8;https://www.google.com/maps/place/SDN+09+Sei+Dangin/data=!4m7!3m6!1s0x31fcf7fec6d22a35:0x9089051825afd46a!8m2!3d0.7706616!4d110.2810843!16s%2Fg%2F11jcb8pd89!19sChIJNSrSxv73_DERatSvJRgFiZA?authuser=0&hl=id&rclk=1;
SDN 13 TRans Sui Dangin;;Sekolah;P933+CJ9;;https://www.google.com/maps/place/SDN+13+TRans+Sui+Dangin/data=!4m7!3m6!1s0x31fc57f621f89899:0x487d2475f3e10626!8m2!3d0.703538!4d110.3541222!16s%2Fg%2F11g1dxj5tn!19sChIJmZj4IfZX_DERJgbh83UkfUg?authuser=0&hl=id&rclk=1;
CAPDIKPORA BEDUAI;;Sekolah;P98R+7W5;;https://www.google.com/maps/place/CAPDIKPORA+BEDUAI/data=!4m7!3m6!1s0x31fc59fc554a4ab9:0xefbe49fcdb59b94d!8m2!3d0.7156413!4d110.3923668!16s%2Fg%2F11j794hf5c!19sChIJuUpKVfxZ_DERTblZ2_xJvu8?authuser=0&hl=id&rclk=1;
SDN 16 Sei Goa;;Sekolah;M87Q+X7V;M87Q+X7V;https://www.google.com/maps/place/SDN+16+Sei+Goa/data=!4m7!3m6!1s0x31fc57b5753d4a6d:0x7fc56e5a861fd56f!8m2!3d0.6649764!4d110.3381586!16s%2Fg%2F11jnlxvzpd!19sChIJbUo9dbVX_DERb9UfhlpuxX8?authuser=0&hl=id&rclk=1;
Beduai;;Sekolah;P95V+78P;P95V+78P;https://www.google.com/maps/place/Beduai/data=!4m7!3m6!1s0x31fc594b4dc8e34d:0xe2ad3563e71fb553!8m2!3d0.7082224!4d110.3933241!16s%2Fg%2F11vb6cnc3k!19sChIJTePITUtZ_DERU7Uf52M1reI?authuser=0&hl=id&rclk=1;
Sdn Setogor;;Sekolah Dasar;PFG9+8G2;PFG9+8G2;https://www.google.com/maps/place/Sdn+Setogor/data=!4m7!3m6!1s0x31fc5a5e629edac1:0x5e2f01fd6427eba1!8m2!3d0.7257548!4d110.4687698!16s%2Fg%2F11fz2tx687!19sChIJwdqeYl5a_DERoesnZP0BL14?authuser=0&hl=id&rclk=1;3,5 bintang 4 Ulasan
SEKOLAH DASAR NEGERI;;Sekolah Dasar;R88X+56P;;https://www.google.com/maps/place/SEKOLAH+DASAR+NEGERI/data=!4m7!3m6!1s0x31fc5f9dd2664cfb:0x315ea414416f39af!8m2!3d0.8154518!4d110.3480907!16s%2Fg%2F11gg6nb9zw!19sChIJ-0xm0p1f_DERrzlvQRSkXjE?authuser=0&hl=id&rclk=1;
